Sequence,MetricType,Lambda,Metric,bpp
BasketballDrive_1920x1072_50,MS-SSIM,8,0.9668728669738493,0.07550431436567165
BQTerrace_1920x1072_60,MS-SSIM,8,0.9641937892082107,0.06198868936567164
BasketballDrive_1920x1072_50,MS-SSIM,16,0.9734989663219176,0.13469371890547263
BQTerrace_1920x1072_60,MS-SSIM,16,0.9739131264331711,0.12615959266169155
BasketballDrive_1920x1072_50,MS-SSIM,32,0.9808536467928257,0.20451387593283585
BQTerrace_1920x1072_60,MS-SSIM,32,0.9808092583747317,0.19124646299751244
BasketballDrive_1920x1072_50,MS-SSIM,64,0.9849671540883423,0.37545164800995023
BQTerrace_1920x1072_60,MS-SSIM,64,0.9856767021310259,0.3633225279850746
BasketballDrive_1920x1072_50,PSNR,256,31.921278333760903,0.055497007151741294
BQTerrace_1920x1072_60,PSNR,256,29.6412845842533,0.05721750621890547
BasketballDrive_1920x1072_50,PSNR,512,33.6281192122015,0.08179240516169155
RaceHorses_832x480_30,MS-SSIM,8,0.9436293188594544,0.11211738782051282
PartyScene_832x480_50,MS-SSIM,8,0.9506328301449064,0.08604627403846155
RaceHorses_832x480_30,MS-SSIM,16,0.9624709896110261,0.19047095352564103
PartyScene_832x480_50,MS-SSIM,16,0.9654868780393842,0.15824579326923077
RaceHorses_832x480_30,MS-SSIM,32,0.9752198351217299,0.2850570913461538
PartyScene_832x480_50,MS-SSIM,32,0.9796349600431005,0.2208758012820513
RaceHorses_832x480_30,MS-SSIM,64,0.9845754202258327,0.49132512019230773
PartyScene_832x480_50,MS-SSIM,64,0.9878204944203408,0.3656939102564102
RaceHorses_832x480_30,PSNR,256,27.40942769499301,0.10809334935897436
PartyScene_832x480_50,PSNR,256,26.19357359805939,0.10836658653846154
RaceHorses_832x480_30,PSNR,512,29.151104905581562,0.18433253205128206
PartyScene_832x480_50,PSNR,512,28.355807485472795,0.1850899439102564
RaceHorses_832x480_30,PSNR,1024,30.633407901437522,0.28645432692307693
PartyScene_832x480_50,PSNR,1024,30.308989352225236,0.297408453525641
RaceHorses_832x480_30,PSNR,2048,32.143916868263446,0.5120745192307692
PartyScene_832x480_50,PSNR,2048,31.955499893478773,0.5040124198717948
BQSquare_416x240_60,MS-SSIM,8,0.9704409363609733,0.05366907051282051
BQSquare_416x240_60,MS-SSIM,16,0.9783719548326911,0.10798397435897436
BQSquare_416x240_60,MS-SSIM,32,0.9869338899285008,0.1429543269230769
Johnny_1280x720_60,MS-SSIM,8,0.979462939129437,0.026987499999999998
BQSquare_416x240_60,MS-SSIM,64,0.9921950604220325,0.2572716346153846
BQSquare_416x240_60,PSNR,256,27.02224482501858,0.09201201923076924
BQSquare_416x240_60,PSNR,512,29.268176547938832,0.14183012820512822
BQSquare_416x240_60,PSNR,1024,31.467662817430636,0.22460096153846154
BQSquare_416x240_60,PSNR,2048,32.92692496662984,0.3953894230769231
KristenAndSara_1280x720_60,MS-SSIM,8,0.9837298846170279,0.0294796875
Johnny_1280x720_60,MS-SSIM,16,0.9841439577203641,0.06510807291666668
KristenAndSara_1280x720_60,MS-SSIM,16,0.986897265903649,0.06561840277777778
Johnny_1280x720_60,MS-SSIM,32,0.9882813103951017,0.1162765625
KristenAndSara_1280x720_60,MS-SSIM,32,0.9898716453089083,0.11163645833333333
Johnny_1280x720_60,MS-SSIM,64,0.99152780160803,0.24212821180555552
KristenAndSara_1280x720_60,MS-SSIM,64,0.9926303220221885,0.22761571180555557
Johnny_1280x720_60,PSNR,256,35.71004924804104,0.017989409722222224
KristenAndSara_1280x720_60,PSNR,256,35.52244944993777,0.02128932291666667
Johnny_1280x720_60,PSNR,512,37.8715445624191,0.026099218750000003
KristenAndSara_1280x720_60,PSNR,512,37.758727588352286,0.030760156250000004
Johnny_1280x720_60,PSNR,1024,38.705017106733784,0.04618237847222222
KristenAndSara_1280x720_60,PSNR,1024,38.82919657718933,0.05156953125
Johnny_1280x720_60,PSNR,2048,39.88959201736677,0.08925503472222222
KristenAndSara_1280x720_60,PSNR,2048,40.220408536102546,0.09228585069444445
BQTerrace_1920x1072_60,PSNR,512,31.35720421437551,0.09615387904228857
BQTerrace_1920x1072_60,PSNR,1024,32.51221148363986,0.1789446517412935
BQTerrace_1920x1072_60,PSNR,2048,33.47100323332569,0.3678954835199005
BasketballDrive_1920x1072_50,PSNR,1024,34.900156184203226,0.12397636815920397
BasketballDrive_1920x1072_50,PSNR,2048,35.8645452015736,0.2603214396766169
BlowingBubbles_416x240_50,MS-SSIM,8,0.9583425897448282,0.07045355902777777
BlowingBubbles_416x240_50,MS-SSIM,16,0.9692339217751246,0.1333669704861111
BlowingBubbles_416x240_50,MS-SSIM,32,0.9803884964924641,0.19239908854166668
BlowingBubbles_416x240_50,MS-SSIM,64,0.9868590875832904,0.33810221354166664
BlowingBubbles_416x240_50,PSNR,256,28.12153918688503,0.07943033854166666
BlowingBubbles_416x240_50,PSNR,512,30.12295081420932,0.1390093315972222
BlowingBubbles_416x240_50,PSNR,1024,31.976657553470996,0.23476345486111108
BlowingBubbles_416x240_50,PSNR,2048,33.24768564206874,0.4220887586805555
