Sequence,MetricType,Lambda,Metric,bpp,Model
BasketballDrive_1920x1072_50,MS-SSIM,8,0.9668728669738492,0.0755043143656716,RLVC
BQTerrace_1920x1072_60,MS-SSIM,8,0.9641937892082107,0.0619886893656716,RLVC
BasketballDrive_1920x1072_50,MS-SSIM,16,0.9734989663219176,0.1346937189054726,RLVC
BQTerrace_1920x1072_60,MS-SSIM,16,0.9739131264331712,0.1261595926616915,RLVC
BasketballDrive_1920x1072_50,MS-SSIM,32,0.9808536467928256,0.2045138759328358,RLVC
BQTerrace_1920x1072_60,MS-SSIM,32,0.9808092583747317,0.1912464629975124,RLVC
BasketballDrive_1920x1072_50,MS-SSIM,64,0.9849671540883423,0.3754516480099502,RLVC
BQTerrace_1920x1072_60,MS-SSIM,64,0.985676702131026,0.3633225279850746,RLVC
BasketballDrive_1920x1072_50,PSNR,256,31.9212769413964,0.0554971237562189,RLVC
BQTerrace_1920x1072_60,PSNR,256,29.6412845842533,0.05721750621890547,RLVC
BasketballDrive_1920x1072_50,PSNR,512,33.628144007733724,,RLVC
RaceHorses_832x480_30,MS-SSIM,8,0.9436293188594544,0.1121173878205128,RLVC
PartyScene_832x480_50,MS-SSIM,8,0.9506328301449064,0.0860462740384615,RLVC
RaceHorses_832x480_30,MS-SSIM,16,0.962470989611026,0.190470953525641,RLVC
PartyScene_832x480_50,MS-SSIM,16,0.9654868780393842,0.1582457932692307,RLVC
RaceHorses_832x480_30,MS-SSIM,32,0.97521983512173,0.2850570913461538,RLVC
PartyScene_832x480_50,MS-SSIM,32,0.9796349600431004,0.2208758012820513,RLVC
RaceHorses_832x480_30,MS-SSIM,64,0.9845754202258328,0.4913251201923077,RLVC
PartyScene_832x480_50,MS-SSIM,64,0.9878204944203408,0.3656939102564102,RLVC
RaceHorses_832x480_30,PSNR,256,27.40942769499301,0.1080933493589743,RLVC
PartyScene_832x480_50,PSNR,256,26.19357359805939,0.1083665865384615,RLVC
RaceHorses_832x480_30,PSNR,512,29.15110490558156,0.184332532051282,RLVC
PartyScene_832x480_50,PSNR,512,28.355807485472795,0.1850899439102564,RLVC
RaceHorses_832x480_30,PSNR,1024,30.63340790143752,0.2864543269230769,RLVC
PartyScene_832x480_50,PSNR,1024,30.308989352225236,0.297408453525641,RLVC
RaceHorses_832x480_30,PSNR,2048,32.143916868263446,0.5120745192307692,RLVC
PartyScene_832x480_50,PSNR,2048,31.955499893478773,0.5040124198717948,RLVC
BQSquare_416x240_60,MS-SSIM,8,0.9704409363609732,0.0536690705128205,RLVC
BQSquare_416x240_60,MS-SSIM,16,0.9783719548326912,0.1079839743589743,RLVC
BQSquare_416x240_60,MS-SSIM,32,0.9869338899285008,0.1429543269230769,RLVC
Johnny_1280x720_60,MS-SSIM,8,0.979462939129437,0.0269874999999999,RLVC
BQSquare_416x240_60,MS-SSIM,64,0.9921950604220324,0.2572716346153846,RLVC
BQSquare_416x240_60,PSNR,256,27.02224482501858,0.0920120192307692,RLVC
BQSquare_416x240_60,PSNR,512,29.268176547938832,0.1418301282051282,RLVC
BQSquare_416x240_60,PSNR,1024,31.467662817430636,0.2246009615384615,RLVC
BQSquare_416x240_60,PSNR,2048,32.92692496662984,0.3953894230769231,RLVC
KristenAndSara_1280x720_60,MS-SSIM,8,0.983729884617028,0.0294796875,RLVC
Johnny_1280x720_60,MS-SSIM,16,0.984143957720364,0.0651080729166666,RLVC
KristenAndSara_1280x720_60,MS-SSIM,16,0.986897265903649,0.0656184027777777,RLVC
Johnny_1280x720_60,MS-SSIM,32,0.9882813103951016,0.1162765625,RLVC
KristenAndSara_1280x720_60,MS-SSIM,32,0.9898716453089084,0.1116364583333333,RLVC
Johnny_1280x720_60,MS-SSIM,64,0.99152780160803,0.2421282118055555,RLVC
KristenAndSara_1280x720_60,MS-SSIM,64,0.9926303220221884,0.2276157118055555,RLVC
Johnny_1280x720_60,PSNR,256,35.71004924804104,0.0179894097222222,RLVC
KristenAndSara_1280x720_60,PSNR,256,35.52244944993777,0.0212893229166666,RLVC
Johnny_1280x720_60,PSNR,512,37.8715445624191,0.02609921875,RLVC
KristenAndSara_1280x720_60,PSNR,512,37.758727588352286,0.03076015625,RLVC
Johnny_1280x720_60,PSNR,1024,38.705017106733784,0.0461823784722222,RLVC
KristenAndSara_1280x720_60,PSNR,1024,38.82919657718933,0.05156953125,RLVC
Johnny_1280x720_60,PSNR,2048,39.88959201736677,0.0892550347222222,RLVC
KristenAndSara_1280x720_60,PSNR,2048,40.220408536102546,0.0922858506944444,RLVC
